#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    2336  307.943826  -1.268376   52053.424558   52053.452753  32.298461   0.001548 307.943823  -1.266836
    2347  245.185684  -1.162420   52059.386649   52059.408624   8.484235   0.001117 245.185697  -1.161487
    2348  247.237232  -4.411780   52059.416485   52059.443850 250.010934  45.177469 244.928435  -1.146152
    2379  213.931641  -3.454470   52075.162136   52075.230965 275.062697   2.502399 213.881912  -1.262448
    2385  307.383471  -1.056254   52075.313848   52075.351580 290.781472   0.002115 307.383433  -1.056859
    2391  211.277604   5.463734   52076.166048   52076.258511  95.002125   7.499587 211.156031  -1.266361
    2392  242.892715  78.293339   52076.268859   52076.365054  94.998389  84.991851 194.897437  -1.257464
    2506  320.407972  -1.120936   52144.206338   52144.236192 321.055206   0.001967 320.407934  -1.120914
    2507  318.545223   9.218647   52144.244302   52144.376155 274.985711  15.003467 319.304595  -1.223311
    2566  319.288820   9.306810   52170.173766   52170.306448 275.001056  14.998036 320.042784  -1.266902
    2570   20.671015  -1.060001   52170.376387   52170.481289 304.384529   0.001422  20.671008  -1.061382
    2574  258.993916  60.279149   52171.122118   52171.184728  94.983771  82.481060 213.454276  -1.246576
    2575  318.391828  -8.183622   52171.201577   52171.226040  95.006248  10.000945 318.991142  -1.266734
    2576  322.840288  -8.723118   52171.234668   52171.308473  95.043393   9.984292 323.425692  -1.284415
    2578   34.520669  -1.056853   52171.351852   52171.422754 179.170292   0.000059  34.520670  -1.056819
    2579   40.128344  -1.266577   52171.440705   52171.491290 108.182573   0.001907  40.128328  -1.264808
    2582  234.564714  80.696519   52172.102336   52172.204335  94.993257  84.984812 192.063222  -1.040983
    2583  304.545097  -1.265724   52172.215313   52172.316898 171.817963   0.000584 304.545105  -1.266153
    2585  328.115622  -1.268317   52172.330758   52172.366416  95.000000   0.000000 328.115622  -1.268317
    2589   16.782817  -1.058061   52173.278995   52173.401312 317.410362   0.009617  16.782726  -1.066337
    2591   42.215455  -1.267046   52173.420722   52173.448088 167.309307   0.000187  42.215458  -1.266893
    2649  343.390139  -1.057107   52196.252976   52196.323049 270.852809   0.004569 343.390114  -1.061466
    2650    5.147823  -1.056783   52196.331923   52196.363021 328.590183   0.000251   5.147820  -1.056933
    2659  303.761000  -1.058061   52197.112457   52197.168847 334.556143   0.001560 303.760975  -1.057263
    2662  319.285250  -1.056762   52197.199319   52197.397928 242.826402   0.000608 319.285248  -1.057353
    2677    6.864077  -1.058224   52207.303465   52207.390952 295.216971   0.020607   6.863956  -1.077783
    2699    8.302582  -3.554023   52224.230625   52224.262137  95.078333   2.521424   8.296902  -1.036582
    2700   21.699675  -1.058361   52224.272744   52224.381378 212.068663   0.000321  21.699681  -1.058419
    2708  345.341202  -1.057685   52225.121705   52225.229509 355.495612   0.000112 345.341200  -1.057666
    2709   21.358663  -1.267063   52225.237185   52225.345819 205.877670   0.000222  21.358668  -1.267080
    2711  113.261314  22.090373   52225.361158   52225.437865  95.001747  55.002140 123.341216  -1.268143
    2728  319.968566  -1.055957   52231.087215   52231.289141 243.244370   0.001442 319.968560  -1.057360
